_Name,2019年遊客量,2020年遊客量,2020變化率,2021年遊客量,2021變化率,2022年遊客量,2022變化率,2023年遊客量,2023變化率
國立海洋科技博物館,2208724,1973397,-10.65,1266845,-35.8,2582444,103.85,2726173,5.57
國立國父紀念館,4715885,2093050,-55.62,1368660,-34.61,1605735,17.32,8598830,435.51
國立傳統藝術中心,1080589,970511,-10.19,583937,-39.83,668295,14.45,951003,42.3
國立臺灣科學教育館,3000761,1082345,-63.93,1158450,7.03,1878504,62.16,2467537,31.36
國立臺灣美術館,736113,559626,-23.98,434513,-22.36,487718,12.24,567258,16.31
國立臺灣博物館,581310,544743,-6.29,343226,-36.99,526201,53.31,905098,72.01
國立臺灣歷史博物館,468270,99355,-78.78,350134,252.41,583503,66.65,579619,-0.67
國立臺灣藝術教育館,328595,280230,-14.72,202570,-27.71,354235,74.87,410890,15.99
國立歷史博物館,1415826,1287700,-9.05,1326296,3,1120253,-15.54,1405512,25.46
基隆嶼,74865,51728,-30.9,51383,-0.67,31672,-38.36,114841,262.59
情人湖及湖海灣,882917,649366,-26.45,616427,-5.07,642397,4.21,665562,3.61
排雲山莊,58124,64276,10.58,41496,-35.44,59271,42.84,55913,-5.67
梅山太平雲梯,0,555850,0,461880,-16.91,465771,0.84,411198,-11.72
梅山遊客中心,33491,55283,65.07,20639,-62.67,57557,178.87,44095,-23.39
梧棲觀光漁港,1907149,1545689,-18.95,1272571,-17.67,1297499,1.96,1305543,0.62
梨山遊憩區,452940,542412,19.75,419101,-22.73,468826,11.86,490599,4.64
涼山遊憩區,126596,180706,42.74,123275,-31.78,116019,-5.89,84446,-27.21
淡水金色水岸,4637000,4785150,3.19,3628370,-24.17,3383300,-6.75,4360703,28.89
淡水紅毛城,828125,272141,-67.14,167813,-38.34,206558,23.09,546522,164.59
淡水漁人碼頭,3425704,2086198,-39.1,1472314,-29.43,1430596,-2.83,1669033,16.67
清水地熱公園,923682,960228,3.96,727258,-24.26,808236,11.13,891270,10.27
清水祖師廟,18136,8651,-52.3,4486,-48.14,8842,97.1,21244,140.26
清境高空觀景步道,541542,509109,-5.99,274402,-46.1,293402,6.92,292826,-0.2
清境農場,1296898,968199,-25.35,703828,-27.31,841499,19.56,867478,3.09
都歷處本部,54144,585555,981.48,292959,-49.97,254369,-13.17,273955,7.7
野柳地質公園,2680070,642667,-76.02,318699,-50.41,395343,24.05,1355718,242.92
野柳海洋世界,194832,159084,-18.35,100692,-36.71,186172,84.89,241297,29.61
雪見遊憩區,119996,141147,17.63,86083,-39.01,96328,11.9,87590,-9.07
鹿野高臺,851721,886710,4.11,587932,-33.7,1077073,83.2,866819,-19.52
鹿港龍山寺,1938322,2277759,17.51,1319927,-42.05,240897,-81.75,888419,268.8
麻豆代天府,4139869,1681957,-59.37,1170842,-30.39,2042133,74.42,3971245,94.47
凱達格蘭文化館,238779,240837,0.86,135471,-43.75,215165,58.83,294823,37.02
富源國家森林遊樂區,40911,60121,46.96,37504,-37.62,37150,-0.94,80087,115.58
惠蓀林場,154710,151603,-2.01,114001,-24.8,124095,8.85,130362,5.05
曾文水庫,271573,300423,10.62,275798,-8.2,317227,15.02,321681,1.4
棲蘭森林遊樂區,121925,110419,-9.44,68733,-37.75,77136,12.23,71545,-7.25
猴硐煤礦博物園區,1042900,562300,-46.08,385300,-31.48,835510,116.85,1085865,29.96
華山1914文化創意產業園區,3968193,1841292,-53.6,1948666,5.83,2028122,4.08,3349150,65.14
陽明山遊客中心,238097,134879,-43.35,52457,-61.11,87832,67.44,765006,770.99
陽明公園,1149060,764624,-33.46,1287302,68.36,3492672,171.32,5911975,69.27
陽明書屋,117495,89310,-23.99,33375,-62.63,44459,33.21,106450,139.43
陽明海洋文化藝術館,14338,6768,-52.8,2517,-62.81,13777,447.36,21137,53.42
雲仙樂園,128790,121375,-5.76,91921,-24.27,97777,6.37,148660,52.04
圓潭自然生態園區,154954,180582,16.54,113333,-37.24,102319,-9.72,111226,8.71
塔塔加遊憩區,477834,750963,57.16,603893,-19.58,669386,10.85,655373,-2.09
奧萬大國家森林遊樂區,180797,245396,35.73,178016,-27.46,198405,11.45,72705,-63.36
愛河(五福四路至博愛一路),315224,1565441,396.61,75140,-95.2,6987513,9199.33,4353653,-37.69
慈湖,682413,1947996,185.46,2384107,22.39,3082955,29.31,3578406,16.07
新北市立十三行博物館,618157,579728,-6.22,335320,-42.16,454762,35.62,580723,27.7
新北市立黃金博物館,1972451,991416,-49.74,514932,-48.06,734160,42.57,984554,34.11
新北市立鶯歌陶瓷博物館,726389,550483,-24.22,248330,-54.89,484923,95.27,4629192,854.62
新北市坪林茶業博物館,147752,107566,-27.2,75294,-30,119514,58.73,241654,102.2
新北市客家文化園區,982151,584003,-40.54,290046,-50.33,706707,143.65,602453,-14.75
新光兆豐休閒農場,138078,170159,23.23,115996,-31.83,90425,-22.04,102989,13.89
新竹漁港,3769606,5025939,33.33,4125948,-17.91,2342662,-43.22,2697116,15.13
溪州公園,1390780,1355511,-2.54,632399,-53.35,1350185,113.5,1189992,-11.86
溪頭自然教育園區,1746003,1710384,-2.04,1184869,-30.72,1467658,23.87,1603513,9.26
獅頭山風景區(苗栗地區),3418267,3512098,2.74,1875103,-46.61,2442864,30.28,2200300,-9.93
